Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   154 | ....  ... ..  40 0F00 ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 630 | .... .. ... . |
|   155 | ....  ... ..  .. .... 998 | ....  ... ..  .. .... 648 | ....  ... ..  .. .... 636 | 6B00 .. ... . |
|   156 | ....  ... ..  09 564A ... | 173D (+ 0001) .. .... 642 | ....  ... ..  .. .... 63C | .... .. ... . |
|   157 | 22D0  C-5 BC  41 .... 99C | 173F (+ 0002) .. .... 63C | ....  ... ..  .. .... 642 | 6D00 .. ... . |
|   158 | ....  ... ..  .. .... 9A0 | 1742 (+ 0003) .. .... 636 | ....  ... ..  .. .... 648 | 6F00 .. ... . |
|   159 | ....  ... ..  .. .... 9A4 | 1746 (+ 0004) .. .... 630 | ....  ... ..  .. .... 64E | 7100 .. ... . |
|   160 | ....  ... ..  .. .... 9A8 | 174B (+ 0005) .. .... 62A | ....  ... ..  .. .... 654 | 7300 .. ... . |
|   161 | ....  ... ..  40 0F00 ... | 1745 (- 0006) .. .... 624 | ....  ... ..  .. .... 65A | .... .. ... . |
|   162 | ....  ... ..  .. .... 9AC | 173E (- 0007) .. .... 61E | ....  ... ..  .. .... 660 | 7500 .. ... . |
|   163 | ....  ... ..  09 204A ... | 1736 (- 0008) .. .... 618 | ....  ... ..  .. .... 666 | .... .. ... . |
|   164 | 1BA1  G#4 B8  41 .... 9B0 | 172D (- 0009) .. .... 612 | ....  ... ..  .. .... 660 | 7700 .. ... . |
|   165 | ....  ... ..  .. .... 9B4 | 1723 (- 000A) .. .... 60C | ....  ... ..  .. .... 65A | 7900 .. ... . |
|   166 | ....  ... ..  .. .... 9B8 | 1718 (- 000B) .. .... 606 | ....  ... ..  .. .... 654 | 7B00 .. ... . |
|   167 | ....  ... ..  .. .... 9BC | 170C (- 000C) .. .... 600 | ....  ... ..  .. .... 64E | 7D00 .. ... . |
|   168 | ....  ... ..  40 0F00 ... | 1719 (+ 000D) .. .... 5FA | ....  ... ..  .. .... ... | .... .. ... . |
|   169 | ....  ... ..  .. .... 9C0 | 1727 (+ 000E) .. .... 5F4 | ....  ... ..  .. .... 648 | 7F00 .. ... . |
|   170 | ....  ... ..  09 564A ... | 1736 (+ 000F) .. .... 5EE | 173A (+ 0001) .. .... 642 | .... .. ... . |
|   171 | 1739  F-4 B5  41 .... 9C4 | 1746 (+ 0010) .. .... 5E8 | 173C (+ 0002) .. .... 63C | 8100 .. ... . |
|   172 | ....  ... ..  .. .... 9C8 | 1757 (+ 0011) .. .... 5E2 | 173F (+ 0003) .. .... 636 | 8300 .. ... . |
|   173 | ....  ... ..  .. .... 9CC | 1769 (+ 0012) .. .... 5DC | 1743 (+ 0004) .. .... 630 | 8500 .. ... . |
|   174 | ....  ... ..  .. .... 9D0 | 177C (+ 0013) .. .... 5D6 | 1748 (+ 0005) .. .... 62A | 8700 .. ... . |
|   175 | ....  ... ..  40 0F00 ... | 1768 (- 0014) .. .... 5D0 | 1742 (- 0006) .. .... 624 | .... .. ... . |
|   176 | ....  ... ..  .. .... 9D4 | 1753 (- 0015) .. .... 5CA | 173B (- 0007) .. .... 61E | 8900 .. ... . |
|   177 | ....  ... ..  09 204A ... | 173D (- 0016) .. .... 5C4 | 1733 (- 0008) .. .... 618 | .... .. ... . |
|   178 | 22D0  C-5 BC  41 .... 9D8 | 1726 (- 0017) .. .... 5BE | 172A (- 0009) .. .... 612 | 8B00 .. ... . |
|   179 | ....  ... ..  .. .... 9DC | 170E (- 0018) .. .... 5B8 | 1720 (- 000A) .. .... 60C | 8D00 .. ... . |
